order_id,customer_id,order_date,product_category,product_name,quantity,price,discount,payment_method,order_status,sales_person,warehouse,region
ORD-10001,CUST-1463,2026-01-02,Infusion & Vascular,Syringe Driver Pump,5,10157.56,10.5,COD,Delivered,Priya Sharma,WH-Bengaluru (South),South
ORD-10002,CUST-1107,2026-02-06,Orthopedic & Mobility,TENS Physiotherapy Unit,3,14417.6,9.2,Credit Card,Delivered,Vikram Patel,WH-Bengaluru (South),South
ORD-10003,CUST-1089,2026-05-15,Respiratory Care,BiPAP Machine,3,9178.75,6.6,COD,Returned,Sanjay Verma,WH-Bhiwandi (West),West
ORD-10004,CUST-1280,2026-05-22,Diagnostic & Monitoring,Capnograph Monitor,2,13884.62,3.2,Debit Card,Processing,Sanjay Verma,WH-Gurugram (North),North
ORD-10005,CUST-1502,2026-06-10,Surgical & Critical Care,Surgical Stapler,5,10936.35,12.6,Net Banking,Delivered,Anjali Nair,WH-Bhiwandi (West),West
ORD-10006,CUST-1159,2025-03-05,Surgical & Critical Care,Surgical Electrocautery Unit,3,23134.22,6.8,Debit Card,Delivered,Anjali Nair,WH-Bengaluru (South),South
ORD-10007,CUST-1879,2026-03-30,Sterilization & Lab,Tabletop Steam Autoclave,5,31938.28,6.5,UPI,Delivered,Vikram Patel,WH-Bhiwandi (West),West
ORD-10008,CUST-1406,2026-06-09,Respiratory Care,BiPAP Machine,4,34653.51,10.5,Debit Card,Delivered,Vikram Patel,WH-Gurugram (North),North
ORD-10009,CUST-1579,2026-03-04,Sterilization & Lab,UV Sterilizer Box,5,14103.79,11.9,COD,Cancelled,Priya Sharma,WH-Gurugram (North),North
ORD-10010,CUST-1614,2026-03-22,Diagnostic & Monitoring,Single-Channel ECG Machine,5,24141.35,2.7,UPI,Delivered,Vikram Patel,WH-Kolkata (East),East
ORD-10011,CUST-1556,2026-04-18,Orthopedic & Mobility,TENS Physiotherapy Unit,3,9880.08,3.9,UPI,Returned,Vikram Patel,WH-Gurugram (North),North
ORD-10012,CUST-1318,2025-08-17,Surgical & Critical Care,Pulse Generator Pacemaker,1,38749.56,11.6,COD,Cancelled,Vikram Patel,WH-Bhiwandi (West),West
ORD-10013,CUST-1047,2025-05-05,Sterilization & Lab,Digital Centrifuge Machine,2,39525.78,10.4,Debit Card,Delivered,Ramesh Rao,WH-Kolkata (East),East
ORD-10014,CUST-1057,2026-05-30,Diagnostic & Monitoring,Multi-Para Patient Monitor,2,16461.78,3.7,Credit Card,Cancelled,Sanjay Verma,WH-Kolkata (East),East
ORD-10015,CUST-1922,2026-03-20,Orthopedic & Mobility,Walking Frame with Castors,4,30327.56,12.0,Debit Card,Processing,Sanjay Verma,WH-Gurugram (North),North
ORD-10016,CUST-1298,2026-07-11,Surgical & Critical Care,Pulse Generator Pacemaker,5,2664.98,3.6,COD,Shipped,Sanjay Verma,WH-Gurugram (North),North
ORD-10017,CUST-1177,2026-02-26,Surgical & Critical Care,Surgical Electrocautery Unit,1,27636.26,0.3,Debit Card,Delivered,Vikram Patel,WH-Bhiwandi (West),West
ORD-10018,CUST-1415,2026-06-30,Orthopedic & Mobility,Cervical Traction Unit,4,34087.04,12.9,Debit Card,Delivered,Priya Sharma,WH-Kolkata (East),East
ORD-10019,CUST-1940,2026-04-11,Diagnostic & Monitoring,Continuous Glucose Monitor (CGM),1,1154.09,11.0,Credit Card,Delivered,Vikram Patel,WH-Kolkata (East),East
ORD-10020,CUST-1586,2026-07-15,Diagnostic & Monitoring,Continuous Glucose Monitor (CGM),4,6254.51,5.9,Net Banking,Returned,Sanjay Verma,WH-Bengaluru (South),South
ORD-10021,CUST-1093,2026-05-02,Infusion & Vascular,Central Venous Catheter Kit,1,21219.83,4.1,UPI,Returned,Sanjay Verma,WH-Bhiwandi (West),West
ORD-10022,CUST-1806,2026-07-09,Home Healthcare,Peak Flow Meter,4,38899.78,7.7,Net Banking,Shipped,Anjali Nair,WH-Bhiwandi (West),West
ORD-10023,CUST-1665,2025-12-06,Surgical & Critical Care,Defibrillator & AED,1,40765.26,5.2,Credit Card,Delivered,Anjali Nair,WH-Gurugram (North),North
ORD-10024,CUST-1997,2026-07-14,Surgical & Critical Care,Surgical Stapler,5,1056.0,9.1,UPI,Processing,Anjali Nair,WH-Bengaluru (South),South
ORD-10025,CUST-1629,2026-07-04,Surgical & Critical Care,Surgical Stapler,4,35593.94,4.2,Debit Card,Returned,Sanjay Verma,WH-Gurugram (North),North
ORD-10026,CUST-1812,2026-05-29,Diagnostic & Monitoring,Infrared Non-Contact Thermometer,5,35138.28,1.3,Debit Card,Processing,Vikram Patel,WH-Gurugram (North),North
ORD-10027,CUST-1570,2025-10-26,Surgical & Critical Care,Electric Suction Apparatus,4,19021.95,2.6,COD,Processing,Ramesh Rao,WH-Bengaluru (South),South
ORD-10028,CUST-1474,2026-01-29,Diabetes Care,Blood Glucose Meter Kit,1,27273.36,15.0,UPI,Shipped,Priya Sharma,WH-Bhiwandi (West),West
ORD-10029,CUST-1993,2025-01-26,Surgical & Critical Care,Electric Suction Apparatus,5,18458.35,9.0,UPI,Delivered,Priya Sharma,WH-Bhiwandi (West),West
